time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-3-13 10:6:29.769	WT901BLE68(E947F43FF2E9)	-0.519	1.063	-0.376	-72.754	132.996	113.403	91.21	-30.10	63.53	12.544	-65.366	-6.468	0.47150	0.65396	0.18768	0.56094	27.6	13111	100
2025-3-13 10:6:29.793	WT901BLE68(490AABDC0D29)	-0.072	-1.014	-0.011	-33.630	4.272	-37.598	-88.84	12.15	23.60	14.504	36.358	46.060	0.67697	-0.70190	-0.07480	0.20813	26.9	13111	100
2025-3-13 10:6:29.890	WT901BLE68(E947F43FF2E9)	-0.195	0.326	-0.049	-7.080	-85.205	-10.254	83.21	-35.90	68.03	12.544	-65.366	-6.468	0.47150	0.65396	0.18768	0.56094	27.6	13111	100
2025-3-13 10:6:29.918	WT901BLE68(490AABDC0D29)	-0.053	-1.005	-0.067	-26.184	6.714	-34.607	-92.32	7.95	22.14	14.504	36.358	46.060	0.67697	-0.70190	-0.07480	0.20813	26.9	13111	100
2025-3-13 10:6:29.951	WT901BLE68(E947F43FF2E9)	-0.103	0.736	0.033	89.783	15.991	-166.260	94.38	-27.04	56.24	4.312	-66.346	-11.074	0.47150	0.65396	0.18768	0.56094	27.6	13111	100
2025-3-13 10:6:30.1	WT901BLE68(490AABDC0D29)	-0.035	-0.991	-0.079	-16.541	6.165	-36.011	-94.35	4.22	20.09	0.686	40.572	53.116	0.67697	-0.70190	-0.07480	0.20813	26.9	13111	100
2025-3-13 10:6:30.71	WT901BLE68(E947F43FF2E9)	0.934	1.482	0.137	115.417	52.856	-263.428	104.71	-5.10	57.62	4.312	-66.346	-11.074	0.47150	0.65396	0.18768	0.56094	27.6	13111	100
2025-3-13 10:6:30.122	WT901BLE68(490AABDC0D29)	0.094	-0.992	-0.120	-13.245	-0.610	-43.762	-95.70	0.26	18.87	0.686	40.572	53.116	0.67697	-0.70190	-0.07480	0.20813	26.9	13111	100
2025-3-13 10:6:30.160	WT901BLE68(E947F43FF2E9)	-0.032	1.611	0.576	34.424	4.333	-157.288	114.13	14.95	74.45	4.312	-66.346	-11.074	0.49908	0.61728	0.55325	0.25232	27.6	13111	100
2025-3-13 10:6:30.222	WT901BLE68(490AABDC0D29)	-0.121	-1.019	-0.087	-13.184	-3.235	-67.322	-96.80	-5.15	18.20	0.686	40.572	53.116	0.65967	-0.73288	-0.15332	0.06421	26.9	13111	100
2025-3-13 10:6:30.281	WT901BLE68(E947F43FF2E9)	-0.290	0.760	0.055	3.601	-44.678	85.205	110.00	11.27	71.19	4.312	-66.346	-11.074	0.49908	0.61728	0.55325	0.25232	27.6	13111	100
2025-3-13 10:6:30.332	WT901BLE68(490AABDC0D29)	0.138	-1.736	-0.042	-40.771	33.203	-137.573	-98.81	-15.14	16.70	0.686	40.572	53.116	0.65967	-0.73288	-0.15332	0.06421	26.9	13111	100
2025-3-13 10:6:30.369	WT901BLE68(E947F43FF2E9)	0.048	0.811	-0.108	-2.563	2.747	51.697	109.56	1.02	68.41	30.576	-78.498	14.798	0.49908	0.61728	0.55325	0.25232	27.6	13111	100
2025-3-13 10:6:30.393	WT901BLE68(490AABDC0D29)	-0.134	-0.600	-0.525	-17.517	9.094	-98.999	-98.90	-30.05	10.25	-27.440	36.750	55.272	0.65967	-0.73288	-0.15332	0.06421	26.9	13111	100
2025-3-13 10:6:30.490	WT901BLE68(E947F43FF2E9)	0.046	0.976	-0.261	-2.502	-7.935	44.067	109.29	-4.00	67.87	30.576	-78.498	14.798	0.49908	0.61728	0.55325	0.25232	27.6	13111	100
2025-3-13 10:6:30.520	WT901BLE68(490AABDC0D29)	0.165	-0.563	-0.052	33.081	-31.677	92.529	-101.42	-27.19	14.78	-27.440	36.750	55.272	0.65967	-0.73288	-0.15332	0.06421	26.9	13111	100
2025-3-13 10:6:30.549	WT901BLE68(E947F43FF2E9)	0.116	0.946	-0.243	-5.188	12.939	32.898	108.29	-7.44	68.59	30.576	-78.498	14.798	0.44656	0.68988	0.41879	0.38617	27.6	13111	100
2025-3-13 10:6:30.603	WT901BLE68(490AABDC0D29)	0.157	-1.045	-0.062	64.697	-50.781	209.839	-96.37	-9.64	13.96	-27.440	36.750	55.272	0.67566	-0.72620	-0.10873	0.06485	26.9	13111	100
2025-3-13 10:6:30.671	WT901BLE68(E947F43FF2E9)	0.172	0.958	-0.207	-5.371	13.428	43.518	107.41	-11.11	69.61	30.576	-78.498	14.798	0.44656	0.68988	0.41879	0.38617	27.6	13111	100
2025-3-13 10:6:30.721	WT901BLE68(490AABDC0D29)	1.113	-1.336	0.002	57.922	-39.246	216.003	-90.23	11.99	15.42	-27.440	36.750	55.272	0.67566	-0.72620	-0.10873	0.06485	26.9	13111	100
2025-3-13 10:6:30.760	WT901BLE68(E947F43FF2E9)	0.270	1.001	-0.229	-11.841	14.587	52.551	106.03	-15.66	70.43	13.132	-80.066	12.838	0.44656	0.68988	0.41879	0.38617	27.6	13111	100
2025-3-13 10:6:30.819	WT901BLE68(490AABDC0D29)	0.121	-1.098	-0.575	17.944	-82.031	67.566	-82.46	26.82	22.96	22.442	33.320	39.788	0.67566	-0.72620	-0.10873	0.06485	26.9	13111	100
2025-3-13 10:6:30.881	WT901BLE68(E947F43FF2E9)	0.069	1.218	-0.224	-26.611	18.494	76.477	104.03	-21.59	70.96	13.132	-80.066	12.838	0.44656	0.68988	0.41879	0.38617	27.6	13111	100
2025-3-13 10:6:30.933	WT901BLE68(490AABDC0D29)	-0.154	-1.271	-0.745	-75.012	-23.438	-105.347	-85.14	18.56	28.69	22.442	33.320	39.788	0.67566	-0.72620	-0.10873	0.06485	26.9	13111	100
2025-3-13 10:6:30.968	WT901BLE68(E947F43FF2E9)	-0.298	1.485	-0.371	-31.921	94.910	111.450	99.20	-30.63	74.32	13.132	-80.066	12.838	0.34598	0.65506	0.27304	0.61359	27.6	13111	100
2025-3-13 10:6:31.24	WT901BLE68(490AABDC0D29)	-0.051	-1.060	-0.048	-38.635	20.813	-43.884	-91.72	10.90	28.24	22.442	33.320	39.788	0.65366	-0.71234	-0.11444	0.22824	26.9	13111	100
2025-3-13 10:6:31.89	WT901BLE68(E947F43FF2E9)	-0.385	0.533	-0.270	-24.170	71.411	26.978	88.18	-39.31	85.03	13.132	-80.066	12.838	0.34598	0.65506	0.27304	0.61359	27.6	13111	100
2025-3-13 10:6:31.141	WT901BLE68(490AABDC0D29)	-0.037	-1.007	-0.107	-17.578	5.066	-41.138	-95.06	5.76	27.44	22.442	33.320	39.788	0.65366	-0.71234	-0.11444	0.22824	26.9	13111	100
2025-3-13 10:6:31.178	WT901BLE68(E947F43FF2E9)	-0.216	0.715	-0.170	75.562	-0.244	-170.959	95.01	-30.50	77.88	15.484	-73.206	4.998	0.34598	0.65506	0.27304	0.61359	27.6	13111	100
2025-3-13 10:6:31.201	WT901BLE68(490AABDC0D29)	0.010	-0.991	-0.114	-7.080	-0.183	-39.978	-96.25	1.74	26.63	8.134	39.396	47.334	0.65366	-0.71234	-0.11444	0.22824	26.9	13111	100
2025-3-13 10:6:31.298	WT901BLE68(E947F43FF2E9)	1.185	1.656	0.048	119.202	26.367	-282.043	105.45	-6.05	80.34	15.484	-73.206	4.998	0.34598	0.65506	0.27304	0.61359	27.6	13111	100
2025-3-13 10:6:31.322	WT901BLE68(490AABDC0D29)	0.025	-0.995	-0.116	-8.667	-7.263	-58.533	-97.03	-2.89	26.41	8.134	39.396	47.334	0.65366	-0.71234	-0.11444	0.22824	26.9	13111	100
2025-3-13 10:6:31.358	WT901BLE68(E947F43FF2E9)	-0.005	1.508	0.660	52.917	9.033	-157.166	114.50	14.82	95.91	15.484	-73.206	4.998	0.43991	0.52960	0.64182	0.33752	27.6	13111	100
2025-3-13 10:6:31.426	WT901BLE68(490AABDC0D29)	-0.083	-1.236	-0.099	-15.869	-20.996	-91.370	-98.15	-9.67	27.56	8.134	39.396	47.334	0.64716	-0.71490	-0.25558	0.06836	26.9	13111	100
2025-3-13 10:6:31.482	WT901BLE68(E947F43FF2E9)	0.141	0.453	-0.426	-23.926	-18.921	115.601	109.68	6.65	91.38	15.484	-73.206	4.998	0.43991	0.52960	0.64182	0.33752	27.6	13111	100
2025-3-13 10:6:31.530	WT901BLE68(490AABDC0D29)	-0.502	-1.553	-0.012	-40.833	91.125	-181.091	-101.11	-24.04	24.76	8.134	39.396	47.334	0.64716	-0.71490	-0.25558	0.06836	26.9	13111	100
2025-3-13 10:6:31.569	WT901BLE68(E947F43FF2E9)	-0.009	1.089	-0.279	21.240	-4.089	62.073	110.09	-1.46	85.78	35.182	-71.148	13.916	0.43991	0.52960	0.64182	0.33752	27.6	13111	100
2025-3-13 10:6:31.626	WT901BLE68(490AABDC0D29)	0.000	-0.554	-0.216	23.193	-118.408	-44.922	-99.26	-33.79	21.87	-23.520	39.592	51.352	0.64716	-0.71490	-0.25558	0.06836	26.9	13111	100
2025-3-13 10:6:31.691	WT901BLE68(E947F43FF2E9)	0.020	0.931	-0.294	-8.423	7.446	26.367	109.75	-5.10	85.80	35.182	-71.148	13.916	0.43991	0.52960	0.64182	0.33752	27.6	13111	100
2025-3-13 10:6:31.741	WT901BLE68(490AABDC0D29)	0.161	-0.629	-0.087	63.477	-62.866	110.352	-99.28	-23.80	29.27	-23.520	39.592	51.352	0.64716	-0.71490	-0.25558	0.06836	26.9	13111	100
2025-3-13 10:6:31.778	WT901BLE68(E947F43FF2E9)	0.117	0.966	-0.250	-8.118	10.437	43.518	108.48	-8.26	85.61	35.182	-71.148	13.916	0.37561	0.63141	0.50266	0.45547	27.6	13111	100
2025-3-13 10:6:31.803	WT901BLE68(490AABDC0D29)	0.117	-1.071	-0.237	83.984	-71.350	199.646	-92.52	-5.09	31.69	-23.520	39.592	51.352	0.67398	-0.68423	-0.20367	0.18973	26.9	13111	100
2025-3-13 10:6:31.898	WT901BLE68(E947F43FF2E9)	0.179	0.953	-0.303	-2.502	34.424	40.771	107.85	-12.47	85.60	35.182	-71.148	13.916	0.37561	0.63141	0.50266	0.45547	27.6	13111	100
2025-3-13 10:6:31.925	WT901BLE68(490AABDC0D29)	1.444	-1.474	-0.119	63.599	-4.578	240.112	-86.12	16.98	34.05	-23.520	39.592	51.352	0.67398	-0.68423	-0.20367	0.18973	26.9	13111	100
2025-3-13 10:6:31.959	WT901BLE68(E947F43FF2E9)	0.224	1.038	-0.236	-6.042	26.550	52.917	106.90	-17.04	86.92	17.444	-75.362	13.230	0.37561	0.63141	0.50266	0.45547	27.6	13111	100
2025-3-13 10:6:32.11	WT901BLE68(490AABDC0D29)	-0.962	-1.035	-0.570	-15.991	33.203	25.452	-83.39	30.05	35.80	41.160	36.848	36.358	0.67398	-0.68423	-0.20367	0.18973	26.9	13111	100
2025-3-13 10:6:32.80	WT901BLE68(E947F43FF2E9)	-0.064	1.407	-0.379	-14.221	22.400	93.018	105.79	-23.57	86.91	17.444	-75.362	13.230	0.37561	0.63141	0.50266	0.45547	27.6	13111	100
2025-3-13 10:6:32.133	WT901BLE68(490AABDC0D29)	-0.214	-0.934	-0.481	-51.086	-22.766	-51.086	-86.62	20.81	39.58	41.160	36.848	36.358	0.67398	-0.68423	-0.20367	0.18973	26.9	13111	100
2025-3-13 10:6:32.170	WT901BLE68(E947F43FF2E9)	-0.550	1.294	-0.299	-54.443	136.230	107.910	100.87	-34.39	90.74	17.444	-75.362	13.230	0.23849	0.63370	0.34818	0.64822	27.6	13111	100
2025-3-13 10:6:32.230	WT901BLE68(490AABDC0D29)	-0.069	-1.024	-0.041	-28.625	19.348	-48.401	-90.04	14.43	41.72	41.160	36.848	36.358	0.62393	-0.69217	-0.17947	0.31509	26.9	13111	100
2025-3-13 10:6:32.290	WT901BLE68(E947F43FF2E9)	-0.202	0.327	-0.009	-51.025	98.877	-31.677	91.67	-42.59	95.65	17.444	-75.362	13.230	0.23849	0.63370	0.34818	0.64822	27.6	13111	100
2025-3-13 10:6:32.343	WT901BLE68(490AABDC0D29)	-0.078	-0.994	-0.109	-17.822	4.150	-44.373	-92.89	9.16	40.90	41.160	36.848	36.358	0.62393	-0.69217	-0.17947	0.31509	26.9	13111	100
2025-3-13 10:6:32.381	WT901BLE68(E947F43FF2E9)	-0.025	0.818	-0.130	69.336	-33.508	-209.839	96.06	-29.65	88.80	24.598	-77.126	5.880	0.23849	0.63370	0.34818	0.64822	27.6	13111	100
2025-3-13 10:6:32.431	WT901BLE68(490AABDC0D29)	-0.033	-0.982	-0.121	-10.803	0.061	-42.969	-94.26	5.02	40.31	25.480	48.706	41.356	0.62393	-0.69217	-0.17947	0.31509	26.9	13111	100
2025-3-13 10:6:32.501	WT901BLE68(E947F43FF2E9)	2.158	1.715	0.061	79.834	39.429	-302.612	103.27	-3.00	91.95	24.598	-77.126	5.880	0.23849	0.63370	0.34818	0.64822	27.6	13111	100
2025-3-13 10:6:32.582	WT901BLE68(490AABDC0D29)	0.001	-0.992	-0.122	-4.578	5.615	-51.147	-94.99	0.60	39.48	25.480	48.706	41.356	0.62393	-0.69217	-0.17947	0.31509	26.9	13111	100
2025-3-13 10:6:32.590	WT901BLE68(E947F43FF2E9)	0.346	1.088	0.128	6.226	-24.414	-48.340	109.76	18.69	98.51	24.598	-77.126	5.880	0.45264	0.48392	0.63589	0.39554	27.6	13111	100
2025-3-13 10:6:32.613	WT901BLE68(490AABDC0D29)	-0.141	-1.077	-0.068	-11.719	0.244	-85.205	-95.72	-5.51	39.22	25.480	48.706	41.356	0.64560	-0.68338	-0.29138	0.17654	26.9	13111	100
2025-3-13 10:6:32.707	WT901BLE68(E947F43FF2E9)	0.127	0.979	-0.395	26.855	-59.448	139.343	105.70	8.23	95.73	24.598	-77.126	5.880	0.45264	0.48392	0.63589	0.39554	27.6	13111	100
2025-3-13 10:6:32.732	WT901BLE68(490AABDC0D29)	-0.469	-1.588	-0.123	-41.016	100.464	-167.114	-97.67	-17.61	36.00	25.480	48.706	41.356	0.64560	-0.68338	-0.29138	0.17654	26.9	13111	100
2025-3-13 10:6:32.768	WT901BLE68(E947F43FF2E9)	0.072	0.958	-0.220	10.803	-3.357	53.467	107.16	-1.39	89.97	43.512	-64.484	13.230	0.45264	0.48392	0.63589	0.39554	27.6	13111	100
2025-3-13 10:6:32.831	WT901BLE68(490AABDC0D29)	-0.147	-0.710	-0.159	-17.273	-77.393	-49.194	-96.59	-28.89	28.34	-10.094	49.196	46.550	0.64560	-0.68338	-0.29138	0.17654	26.9	13111	100
