time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-3-13 11:57:53.124	WT901BLE68(490AABDC0D29)	-0.003	-0.920	-0.366	-0.122	0.305	0.000	-114.27	0.74	-32.91	-28.420	28.224	56.546	0.52206	-0.80432	0.24139	-0.14871	27.6	13111	100
2025-3-13 11:57:53.134	WT901BLE68(E947F43FF2E9)	0.007	0.991	-0.098	-1.038	0.061	0.488	94.37	-0.88	-23.04	-3.234	-60.368	-0.392	0.66681	0.71817	-0.15060	-0.12955	27.2	13111	100
2025-3-13 11:57:53.184	WT901BLE68(E947F43FF2E9)	0.007	0.991	-0.098	-1.099	0.183	0.671	94.34	-0.91	-23.10	-3.234	-60.368	-0.392	0.66718	0.71729	-0.15237	-0.13046	27.2	13111	100
2025-3-13 11:57:53.250	WT901BLE68(490AABDC0D29)	-0.004	-0.923	-0.367	-0.366	0.366	-0.427	-114.14	0.68	-33.02	-28.518	28.126	56.546	0.52206	-0.80432	0.24139	-0.14871	27.6	13111	100
2025-3-13 11:57:53.308	WT901BLE68(E947F43FF2E9)	0.008	0.992	-0.098	-0.793	-0.305	0.183	94.33	-0.92	-23.16	-3.234	-60.368	-0.392	0.66718	0.71729	-0.15237	-0.13046	27.2	13111	100
2025-3-13 11:57:53.325	WT901BLE68(490AABDC0D29)	-0.002	-0.921	-0.366	-0.183	0.244	0.000	-114.02	0.62	-33.12	-28.518	28.126	56.546	0.52206	-0.80432	0.24139	-0.14871	27.6	13111	100
2025-3-13 11:57:53.382	WT901BLE68(E947F43FF2E9)	0.008	0.991	-0.097	-0.916	0.488	0.427	94.32	-0.94	-23.23	-3.234	-60.270	-0.490	0.66718	0.71729	-0.15237	-0.13046	27.2	13111	100
2025-3-13 11:57:53.450	WT901BLE68(490AABDC0D29)	-0.001	-0.918	-0.368	-0.244	0.549	-0.183	-113.91	0.55	-33.22	-28.518	28.126	56.546	0.52206	-0.80432	0.24139	-0.14871	27.6	13111	100
2025-3-13 11:57:53.508	WT901BLE68(E947F43FF2E9)	0.008	0.991	-0.099	-1.038	0.061	0.366	94.31	-0.95	-23.25	-3.234	-60.270	-0.490	0.66718	0.71729	-0.15237	-0.13046	27.2	13111	100
2025-3-13 11:57:53.526	WT901BLE68(490AABDC0D29)	-0.002	-0.920	-0.368	-0.305	0.305	0.000	-113.81	0.51	-33.32	-28.518	28.126	56.546	0.52414	-0.80179	0.24255	-0.15308	27.6	13111	100
2025-3-13 11:57:53.584	WT901BLE68(E947F43FF2E9)	0.009	0.990	-0.097	-0.854	0.000	0.427	94.29	-0.96	-23.29	-3.234	-60.270	-0.490	0.66736	0.71667	-0.15378	-0.13132	27.2	13111	100
2025-3-13 11:57:53.652	WT901BLE68(490AABDC0D29)	-0.001	-0.915	-0.367	-0.366	0.244	0.000	-113.72	0.47	-33.41	-28.518	28.126	56.546	0.52414	-0.80179	0.24255	-0.15308	27.6	13111	100
2025-3-13 11:57:53.709	WT901BLE68(E947F43FF2E9)	0.008	0.991	-0.098	-0.793	0.244	0.366	94.28	-0.98	-23.32	-3.234	-60.270	-0.490	0.66736	0.71667	-0.15378	-0.13132	27.2	13111	100
2025-3-13 11:57:53.726	WT901BLE68(490AABDC0D29)	0.000	-0.920	-0.368	-0.061	0.122	0.000	-113.63	0.44	-33.49	-28.616	28.126	56.644	0.52414	-0.80179	0.24255	-0.15308	27.6	13111	100
