time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-3-20 10:50:13.116	WT901BLE68(490AABDC0D29)	0.159	0.708	-0.024	49.133	-41.809	-48.218	88.77	3.44	-142.23	-9.506	-41.454	19.894	0.19388	0.25073	-0.66153	-0.67957	24.2	13111	100
2025-3-20 10:50:13.125	WT901BLE68(E947F43FF2E9)	0.267	0.725	-0.297	-66.040	57.800	-38.818	120.93	-22.92	98.88	11.368	-40.866	43.218	0.21262	0.57910	0.59576	0.51419	26.0	13111	100
2025-3-20 10:50:13.236	WT901BLE68(490AABDC0D29)	0.062	0.500	-0.021	-31.921	182.861	-22.888	90.35	6.21	-135.41	-9.506	-41.454	19.894	0.19388	0.25073	-0.66153	-0.67957	24.2	13111	100
2025-3-20 10:50:13.245	WT901BLE68(E947F43FF2E9)	0.394	0.784	-0.397	-68.298	-3.906	-64.514	112.01	-18.38	105.68	11.368	-40.866	43.218	0.21262	0.57910	0.59576	0.51419	26.0	13111	100
2025-3-20 10:50:13.302	WT901BLE68(E947F43FF2E9)	0.282	1.168	-0.286	-77.087	-0.183	-45.959	104.78	-12.62	105.92	11.466	-56.056	28.518	0.21262	0.57910	0.59576	0.51419	26.0	13111	100
2025-3-20 10:50:13.327	WT901BLE68(490AABDC0D29)	-0.326	0.621	-0.064	-54.382	72.815	28.015	86.67	5.78	-123.64	-2.548	-44.002	25.970	0.19388	0.25073	-0.66153	-0.67957	24.2	13111	100
2025-3-20 10:50:13.425	WT901BLE68(E947F43FF2E9)	0.219	1.139	-0.210	-80.994	38.818	-60.547	96.32	-8.01	109.64	11.466	-56.056	28.518	0.21262	0.57910	0.59576	0.51419	26.0	13111	100
2025-3-20 10:50:13.447	WT901BLE68(490AABDC0D29)	0.146	1.555	-0.089	-26.428	-131.653	0.610	82.96	0.69	-129.31	-2.548	-44.002	25.970	0.19388	0.25073	-0.66153	-0.67957	24.2	13111	100
2025-3-20 10:50:13.507	WT901BLE68(490AABDC0D29)	-0.008	0.544	-0.011	-8.545	39.612	10.925	81.51	-0.62	-132.75	-2.548	-44.002	25.970	0.31082	0.26022	-0.59912	-0.69037	24.2	13111	100
2025-3-20 10:50:13.514	WT901BLE68(E947F43FF2E9)	0.085	1.070	-0.243	-34.302	42.725	-15.869	90.58	-4.77	114.25	11.466	-56.056	28.518	0.35675	0.40051	0.57980	0.61319	26.0	13111	100
2025-3-20 10:50:13.628	WT901BLE68(490AABDC0D29)	0.151	1.194	-0.037	-0.427	-52.185	0.305	81.30	-1.16	-134.03	-2.548	-44.002	25.970	0.31082	0.26022	-0.59912	-0.69037	24.2	13111	100
2025-3-20 10:50:13.634	WT901BLE68(E947F43FF2E9)	0.125	0.915	-0.187	-11.230	24.719	-14.221	89.34	-4.02	115.92	11.466	-56.056	28.518	0.35675	0.40051	0.57980	0.61319	26.0	13111	100
2025-3-20 10:50:13.716	WT901BLE68(490AABDC0D29)	0.113	0.847	0.083	18.738	-21.667	-7.202	82.97	-1.05	-137.43	-6.860	-43.120	22.442	0.31082	0.26022	-0.59912	-0.69037	24.2	13111	100
