time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-3-13 12:39:59.655	WT901BLE68(490AABDC0D29)	0.050	0.972	-0.259	-15.076	-9.033	-4.028	99.53	-1.19	-159.30	null	null	null	null	null	null	null	null	null	null
2025-3-13 12:39:59.708	WT901BLE68(E947F43FF2E9)	-0.197	0.986	-0.272	15.625	-55.420	22.522	100.85	11.32	82.99	null	null	null	null	null	null	null	27.5	13111	100
2025-3-13 12:39:59.775	WT901BLE68(490AABDC0D29)	0.038	0.958	-0.228	-30.273	-24.109	-10.925	97.47	-0.24	-161.35	null	null	null	null	null	null	null	null	null	null
2025-3-13 12:39:59.825	WT901BLE68(E947F43FF2E9)	-0.014	0.944	-0.193	4.517	14.465	24.902	101.16	9.15	81.27	null	null	null	null	null	null	null	27.5	13111	100
2025-3-13 12:39:59.833	WT901BLE68(490AABDC0D29)	0.004	0.998	-0.112	-30.212	-25.574	-15.869	94.70	1.27	-164.07	null	null	null	null	null	null	null	null	null	null
2025-3-13 12:39:59.885	WT901BLE68(E947F43FF2E9)	-0.062	0.972	-0.215	11.902	-9.338	26.062	102.06	6.33	78.80	33.614	-62.426	3.430	null	null	null	null	27.5	13111	100
2025-3-13 12:39:59.954	WT901BLE68(490AABDC0D29)	0.048	1.018	-0.104	-30.090	-9.888	-28.625	91.93	3.44	-165.56	null	null	null	null	null	null	null	null	null	null
2025-3-13 12:40:0.7	WT901BLE68(E947F43FF2E9)	-0.000	0.949	-0.241	18.555	-24.292	23.254	103.38	4.38	77.54	33.614	-62.426	3.430	null	null	null	null	27.5	13111	100
2025-3-13 12:40:0.45	WT901BLE68(490AABDC0D29)	-0.300	1.097	-0.097	-28.870	-2.502	-50.232	89.41	6.89	-166.65	null	null	null	null	null	null	null	null	null	null
2025-3-13 12:40:0.98	WT901BLE68(E947F43FF2E9)	-0.044	0.957	-0.258	14.587	4.944	4.089	104.96	3.19	75.56	33.614	-62.426	3.430	0.48886	0.62280	0.49985	0.35095	27.5	13111	100
2025-3-13 12:40:0.195	WT901BLE68(490AABDC0D29)	0.226	0.938	-0.210	-18.188	31.067	-67.139	88.04	12.10	-164.82	null	null	null	null	null	null	null	null	null	100
2025-3-13 12:40:0.218	WT901BLE68(E947F43FF2E9)	-0.018	0.937	-0.369	9.094	6.104	-0.488	106.42	2.90	75.20	33.614	-62.426	3.430	0.48886	0.62280	0.49985	0.35095	27.5	13111	100
2025-3-13 12:40:0.255	WT901BLE68(490AABDC0D29)	-0.051	0.737	-0.223	2.991	98.022	-43.396	88.14	17.68	-162.42	null	null	null	null	null	null	null	null	null	100
2025-3-13 12:40:0.308	WT901BLE68(E947F43FF2E9)	-0.005	0.963	-0.303	5.188	4.761	8.057	107.19	2.27	75.11	31.066	-63.406	7.252	0.48886	0.62280	0.49985	0.35095	27.5	13111	100
