Timestamp,AccX,AccY,AccZ,AsX,AsY,AsZ,AngX,AngY,AngZ,HX,HY,HZ,Q0,Q1,Q2,Q3
2025-03-10 15:32:32.115,-0.007,0.018,1.033,0.0,0.0,0.0,0.917,0.522,160.274,1.275,-3.242,-2.942,0.17126,-0.00314,0.0087,0.98514
2025-03-10 15:32:32.322,-0.007,0.017,1.032,0.0,0.0,0.0,0.917,0.522,160.274,1.275,-3.242,-2.942,0.17126,-0.00314,0.0087,0.98514
2025-03-10 15:32:32.323,-0.01,0.017,1.033,0.0,0.0,0.0,0.917,0.522,160.274,1.275,-3.242,-2.942,0.17126,-0.00314,0.0087,0.98514
2025-03-10 15:32:32.531,-0.01,0.016,1.032,0.0,0.0,0.0,0.917,0.522,160.274,1.275,-3.242,-2.942,0.17126,-0.00314,0.0087,0.98514
2025-03-10 15:32:32.531,-0.008,0.015,1.032,0.0,0.0,0.0,0.917,0.522,160.274,1.275,-3.242,-2.942,0.17126,-0.00314,0.0087,0.98514
2025-03-10 15:32:32.636,-0.008,0.015,1.033,0.0,0.0,0.0,0.917,0.522,160.274,1.275,-3.242,-2.942,0.17126,-0.00314,0.0087,0.98514
2025-03-10 15:32:32.739,-0.011,0.015,1.033,0.0,0.0,0.0,0.917,0.522,160.274,1.275,-3.242,-2.95,0.17126,-0.00314,0.0087,0.98514
2025-03-10 15:32:32.845,-0.01,0.015,1.033,0.0,0.0,0.0,0.917,0.522,160.274,1.275,-3.242,-2.95,0.17126,-0.00314,0.0087,0.98514
2025-03-10 15:32:32.946,-0.01,0.015,1.032,0.0,0.0,0.0,0.917,0.522,160.274,1.275,-3.242,-2.95,0.17126,-0.00314,0.0087,0.98514
2025-03-10 15:32:33.048,-0.007,0.014,1.034,0.0,0.0,0.0,0.917,0.522,160.274,1.275,-3.242,-2.95,0.17126,-0.00314,0.0087,0.98514
2025-03-10 15:32:33.153,-0.008,0.016,1.034,0.0,0.0,0.0,0.917,0.522,160.274,1.267,-3.242,-2.942,0.17126,-0.00314,0.0087,0.98514
2025-03-10 15:32:33.258,-0.005,0.015,1.034,0.0,0.0,0.0,0.917,0.522,160.274,1.267,-3.242,-2.942,0.17126,-0.00314,0.0087,0.98514
2025-03-10 15:32:33.364,-0.007,0.017,1.035,0.0,0.0,0.0,0.917,0.522,160.274,1.267,-3.242,-2.942,0.17126,-0.00311,0.0087,0.98514
2025-03-10 15:32:33.470,-0.012,0.021,1.032,0.0,0.0,0.0,0.917,0.522,160.274,1.267,-3.242,-2.942,0.17126,-0.00311,0.0087,0.98514
2025-03-10 15:32:33.575,-0.012,0.019,1.032,0.0,0.0,0.0,0.917,0.522,160.274,1.267,-3.25,-2.942,0.17126,-0.00311,0.0087,0.98514
