time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-3-17 11:7:15.162	WT901BLE68(490AABDC0D29)	-0.364	-1.079	0.090	-5.798	-118.408	-21.729	-107.88	-1.53	-87.04	6.566	36.456	47.530	0.57358	-0.11743	0.75366	-0.29855	22.5	13111	100
2025-3-17 11:7:15.199	WT901BLE68(E947F43FF2E9)	-0.246	-0.916	-0.331	17.212	25.513	-93.140	-108.93	-21.50	-96.54	-12.642	18.522	5.586	-0.28296	0.59970	-0.54758	0.51022	24.3	13111	100
2025-3-17 11:7:15.251	WT901BLE68(490AABDC0D29)	0.424	-1.082	-0.401	-7.385	-12.329	30.212	-106.38	2.81	-84.03	6.566	36.456	47.530	0.47855	-0.57944	0.54596	-0.37021	22.5	13111	100
2025-3-17 11:7:15.328	WT901BLE68(E947F43FF2E9)	0.037	-2.547	-0.513	19.043	106.384	-200.867	-106.31	-34.69	-97.79	-29.106	1.372	-1.078	-0.28296	0.59970	-0.54758	0.51022	24.3	13111	100
2025-3-17 11:7:15.371	WT901BLE68(490AABDC0D29)	-0.326	-1.652	-0.117	-4.639	37.476	74.829	-105.78	8.42	-83.88	6.566	36.456	47.530	0.47855	-0.57944	0.54596	-0.37021	22.5	13111	100
2025-3-17 11:7:15.378	WT901BLE68(E947F43FF2E9)	0.066	0.603	0.160	18.982	-5.127	-21.484	-103.90	-44.20	-98.95	-29.106	1.372	-1.078	-0.28296	0.59970	-0.54758	0.51022	24.3	13111	100
2025-3-17 11:7:15.490	WT901BLE68(490AABDC0D29)	-0.203	-1.179	-0.100	-2.136	19.470	43.518	-106.34	13.68	-85.51	8.232	36.358	46.256	0.47855	-0.57944	0.54596	-0.37021	22.5	13111	100
2025-3-17 11:7:15.499	WT901BLE68(E947F43FF2E9)	1.147	-0.377	-0.401	-14.526	-104.431	223.694	-109.60	-23.90	-90.58	-29.106	1.372	-1.078	-0.32611	0.62277	-0.53946	0.46335	24.3	13111	100
2025-3-17 11:7:15.580	WT901BLE68(490AABDC0D29)	-0.409	-0.892	-0.163	11.230	-14.832	36.682	-105.60	16.40	-82.66	8.232	36.358	46.256	0.47855	-0.57944	0.54596	-0.37021	22.5	13111	100
2025-3-17 11:7:15.589	WT901BLE68(E947F43FF2E9)	1.167	-1.463	-0.226	-39.978	48.706	272.156	-114.36	0.30	-96.32	-29.106	1.372	-1.078	-0.32611	0.62277	-0.53946	0.46335	24.3	13111	100
2025-3-17 11:7:15.641	WT901BLE68(490AABDC0D29)	-0.478	-0.897	-0.229	2.991	-21.545	79.956	-105.21	22.10	-78.05	8.232	36.358	46.256	0.58234	-0.52243	0.58234	-0.22073	22.5	13111	100
2025-3-17 11:7:15.706	WT901BLE68(E947F43FF2E9)	-0.128	-1.104	-0.177	11.475	24.231	98.206	-116.22	16.93	-101.52	-3.724	22.834	9.016	-0.32611	0.62277	-0.53946	0.46335	24.3	13111	100
2025-3-17 11:7:15.792	WT901BLE68(490AABDC0D29)	-0.491	-0.889	-0.325	9.827	-17.761	86.609	-104.17	30.34	-73.76	8.232	36.358	46.256	0.58234	-0.52243	0.58234	-0.22073	22.5	13111	100
2025-3-17 11:7:15.799	WT901BLE68(E947F43FF2E9)	-0.245	-1.103	-0.136	37.415	65.857	-102.966	-114.58	11.11	-104.00	-3.724	22.834	9.016	-0.32611	0.62277	-0.53946	0.46335	24.3	13111	100
2025-3-17 11:7:15.851	WT901BLE68(490AABDC0D29)	-0.285	-1.996	-0.234	8.301	-52.979	123.474	-101.79	39.75	-67.84	22.442	20.874	40.964	0.58234	-0.52243	0.58234	-0.22073	22.5	13111	100
2025-3-17 11:7:15.917	WT901BLE68(E947F43FF2E9)	0.075	-0.815	-0.437	24.536	-13.733	-65.308	-110.37	6.58	-95.33	-3.724	22.834	9.016	-0.41690	0.55679	-0.59924	0.39618	24.3	13111	100
2025-3-17 11:7:15.971	WT901BLE68(490AABDC0D29)	0.782	0.261	-0.571	0.793	17.517	55.969	-94.80	52.89	-59.04	22.442	20.874	40.964	0.58234	-0.52243	0.58234	-0.22073	22.5	13111	100
2025-3-17 11:7:16.9	WT901BLE68(E947F43FF2E9)	0.336	-1.369	-0.104	24.048	-59.631	-54.749	-108.78	1.97	-88.91	-3.724	22.834	9.016	-0.41690	0.55679	-0.59924	0.39618	24.3	13111	100
2025-3-17 11:7:16.60	WT901BLE68(490AABDC0D29)	-0.896	0.059	-0.263	13.550	99.792	-204.041	-98.56	43.13	-60.17	22.442	20.874	40.964	0.64468	-0.53778	0.52374	-0.14398	22.5	13111	100
2025-3-17 11:7:16.130	WT901BLE68(E947F43FF2E9)	0.033	-0.845	-0.230	16.541	-12.268	-46.326	-106.60	-1.70	-84.10	-15.190	17.248	6.664	-0.41690	0.55679	-0.59924	0.39618	24.3	13111	100
2025-3-17 11:7:16.187	WT901BLE68(E947F43FF2E9)	0.438	-1.028	-0.140	4.395	11.414	-71.350	-105.66	-6.63	-82.11	-15.190	17.248	6.664	-0.41690	0.55679	-0.59924	0.39618	24.3	13111	100
2025-3-17 11:7:16.211	WT901BLE68(490AABDC0D29)	-0.817	-1.428	-0.286	-39.795	-4.944	-241.638	-99.71	14.43	-60.39	22.442	20.874	40.964	0.64468	-0.53778	0.52374	-0.14398	22.5	13111	100
2025-3-17 11:7:16.241	WT901BLE68(490AABDC0D29)	-0.480	-1.553	0.364	-37.842	-112.915	-126.953	-103.80	-3.64	-43.98	-5.096	40.376	40.964	0.64468	-0.53778	0.52374	-0.14398	22.5	13111	100
2025-3-17 11:7:16.307	WT901BLE68(E947F43FF2E9)	0.383	-0.886	-0.291	0.244	26.184	-98.511	-105.38	-15.47	-80.94	-15.190	17.248	6.664	-0.36508	0.66214	-0.42847	0.49454	24.3	13111	100
2025-3-17 11:7:16.359	WT901BLE68(490AABDC0D29)	0.522	-0.948	-0.389	15.015	-79.041	40.466	-103.71	-0.59	-35.87	-5.096	40.376	40.964	0.64468	-0.53778	0.52374	-0.14398	22.5	13111	100
2025-3-17 11:7:16.397	WT901BLE68(E947F43FF2E9)	0.801	-1.683	-0.447	13.367	60.669	-123.779	-104.08	-26.30	-82.34	-15.190	17.248	6.664	-0.36508	0.66214	-0.42847	0.49454	24.3	13111	100
2025-3-17 11:7:16.451	WT901BLE68(490AABDC0D29)	-0.361	-1.212	-0.360	21.423	22.522	80.078	-102.73	2.55	-38.58	-5.096	40.376	40.964	0.59540	-0.70853	0.32370	-0.19647	22.5	13111	100
2025-3-17 11:7:16.516	WT901BLE68(E947F43FF2E9)	-0.177	0.396	0.042	2.625	14.404	-62.805	-102.18	-38.41	-83.58	-31.752	-4.998	1.078	-0.36508	0.66214	-0.42847	0.49454	24.3	13111	100
2025-3-17 11:7:16.571	WT901BLE68(490AABDC0D29)	0.044	-1.476	-0.093	9.766	48.523	62.195	-102.76	7.75	-46.44	-5.096	40.376	40.964	0.59540	-0.70853	0.32370	-0.19647	22.5	13111	100
2025-3-17 11:7:16.608	WT901BLE68(E947F43FF2E9)	0.914	-0.300	-0.250	-16.235	-76.050	263.611	-104.49	-25.21	-79.45	-31.752	-4.998	1.078	-0.36508	0.66214	-0.42847	0.49454	24.3	13111	100
2025-3-17 11:7:16.658	WT901BLE68(490AABDC0D29)	-0.226	-0.943	-0.204	6.348	-10.498	60.669	-101.32	11.65	-47.62	6.076	37.436	41.454	0.59540	-0.70853	0.32370	-0.19647	22.5	13111	100
2025-3-17 11:7:16.732	WT901BLE68(E947F43FF2E9)	1.355	-1.409	-0.109	-39.429	25.940	286.072	-108.34	2.25	-84.87	-31.752	-4.998	1.078	-0.48560	0.52478	-0.62485	0.31345	24.3	13111	100
2025-3-17 11:7:16.781	WT901BLE68(490AABDC0D29)	-0.509	-0.900	-0.276	13.733	-15.076	75.745	-100.50	17.60	-44.66	6.076	37.436	41.454	0.59540	-0.70853	0.32370	-0.19647	22.5	13111	100
2025-3-17 11:7:16.788	WT901BLE68(E947F43FF2E9)	-0.122	-0.898	-0.003	2.502	103.333	99.487	-109.97	21.82	-89.21	-31.752	-4.998	1.078	-0.48560	0.52478	-0.62485	0.31345	24.3	13111	100
2025-3-17 11:7:16.871	WT901BLE68(490AABDC0D29)	-0.514	-0.833	-0.232	19.897	-21.912	96.863	-98.45	25.58	-41.41	6.076	37.436	41.454	0.66638	-0.62485	0.40509	-0.03564	22.5	13111	100
2025-3-17 11:7:16.907	WT901BLE68(E947F43FF2E9)	-0.398	-0.897	-0.471	45.349	-59.692	-86.121	-109.25	17.03	-93.25	-6.860	23.912	4.998	-0.48560	0.52478	-0.62485	0.31345	24.3	13111	100
2025-3-17 11:7:16.992	WT901BLE68(490AABDC0D29)	-0.252	-1.788	-0.274	23.865	-57.434	139.771	-94.86	35.49	-35.90	6.076	37.436	41.454	0.66638	-0.62485	0.40509	-0.03564	22.5	13111	100
2025-3-17 11:7:16.999	WT901BLE68(E947F43FF2E9)	0.200	-1.171	-0.434	0.427	-13.428	-95.947	-105.58	11.16	-85.62	-6.860	23.912	4.998	-0.48560	0.52478	-0.62485	0.31345	24.3	13111	100
2025-3-17 11:7:17.51	WT901BLE68(490AABDC0D29)	0.520	0.203	-0.150	-28.992	25.452	40.955	-88.24	46.74	-26.69	23.226	15.582	27.930	0.66638	-0.62485	0.40509	-0.03564	22.5	13111	100
2025-3-17 11:7:17.116	WT901BLE68(E947F43FF2E9)	0.212	-0.937	-0.315	5.249	-25.818	-38.330	-104.52	6.48	-80.81	-6.860	23.912	4.998	-0.49402	0.58932	-0.52429	0.36554	24.3	13111	100
2025-3-17 11:7:17.169	WT901BLE68(490AABDC0D29)	-1.014	-0.269	-0.243	-13.062	180.298	-186.096	-94.83	36.75	-31.38	23.226	15.582	27.930	0.66638	-0.62485	0.40509	-0.03564	22.5	13111	100
2025-3-17 11:7:17.207	WT901BLE68(E947F43FF2E9)	0.296	-0.890	-0.242	6.409	12.817	-23.071	-103.96	3.39	-79.20	-6.860	23.912	4.998	-0.49402	0.58932	-0.52429	0.36554	24.3	13111	100
2025-3-17 11:7:17.261	WT901BLE68(490AABDC0D29)	-0.348	-1.384	-0.285	-19.470	-10.193	-222.107	-100.95	10.69	-36.75	23.226	15.582	27.930	0.60522	-0.76114	0.16595	-0.16336	22.5	13111	100
2025-3-17 11:7:17.334	WT901BLE68(E947F43FF2E9)	0.319	-0.881	-0.154	7.935	-9.277	-60.852	-103.23	-1.13	-78.75	-22.050	14.896	5.194	-0.49402	0.58932	-0.52429	0.36554	24.3	13111	100
2025-3-17 11:7:17.381	WT901BLE68(490AABDC0D29)	-0.734	-1.489	0.163	-64.819	-148.376	-156.006	-105.13	-6.99	-20.21	23.226	15.582	27.930	0.60522	-0.76114	0.16595	-0.16336	22.5	13111	100
2025-3-17 11:7:17.418	WT901BLE68(E947F43FF2E9)	0.567	-0.900	-0.221	10.681	11.292	-93.750	-102.47	-8.88	-77.59	-22.050	14.896	5.194	-0.49402	0.58932	-0.52429	0.36554	24.3	13111	100
