time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-3-19 12:54:38.398	WT901BLE68(E947F43FF2E9)	-0.196	1.013	-0.022	-7.324	-3.296	2.014	89.66	10.86	-7.89	11.760	-63.798	-8.428	0.70450	0.69995	0.02689	-0.11371	21.6	13111	100
2025-3-19 12:54:38.422	WT901BLE68(490AABDC0D29)	0.167	0.993	-0.064	-3.357	-14.282	12.268	91.71	-8.37	-167.45	-11.270	-39.200	56.154	0.12488	0.02307	-0.71738	-0.68494	20.3	13111	100
2025-3-19 12:54:38.510	WT901BLE68(490AABDC0D29)	0.173	0.924	-0.066	-4.456	-8.301	5.554	91.75	-8.72	-168.96	-11.270	-39.200	56.154	0.12488	0.02307	-0.71738	-0.68494	20.3	13111	100
2025-3-19 12:54:38.520	WT901BLE68(E947F43FF2E9)	-0.218	0.977	-0.001	-0.671	2.808	-4.333	89.26	11.01	-7.68	11.760	-63.798	-8.428	0.70450	0.69995	0.02689	-0.11371	21.6	13111	100
2025-3-19 12:54:38.607	WT901BLE68(E947F43FF2E9)	-0.195	0.974	-0.012	0.000	5.493	-0.793	89.54	11.26	-6.90	11.760	-63.798	-8.428	0.70071	0.70407	0.02780	-0.11130	21.6	13111	100
2025-3-19 12:54:38.632	WT901BLE68(490AABDC0D29)	0.204	0.992	-0.013	2.808	-32.349	13.245	92.39	-9.48	-171.26	-14.994	-38.612	56.644	0.12488	0.02307	-0.71738	-0.68494	20.3	13111	100
2025-3-19 12:54:38.692	WT901BLE68(490AABDC0D29)	0.213	0.947	-0.252	9.521	-10.010	5.249	93.53	-10.22	-173.72	-14.994	-38.612	56.644	0.12488	0.02307	-0.71738	-0.68494	20.3	13111	100
2025-3-19 12:54:38.729	WT901BLE68(E947F43FF2E9)	-0.200	0.976	-0.019	2.991	-1.892	-0.122	89.76	11.30	-6.94	11.760	-63.798	-8.428	0.70071	0.70407	0.02780	-0.11130	21.6	13111	100
2025-3-19 12:54:38.811	WT901BLE68(490AABDC0D29)	0.212	0.944	-0.132	-13.733	-6.470	10.498	93.87	-10.78	-174.40	-14.994	-38.612	56.644	0.10205	-0.03015	-0.72873	-0.67642	20.3	13111	100
2025-3-19 12:54:38.818	WT901BLE68(E947F43FF2E9)	-0.217	0.978	-0.032	7.019	4.456	-3.906	90.43	11.58	-6.91	12.544	-63.994	-7.546	0.70071	0.70407	0.02780	-0.11130	21.6	13111	100
2025-3-19 12:54:38.902	WT901BLE68(490AABDC0D29)	0.197	0.938	-0.102	-15.930	-3.052	4.089	92.82	-11.53	-174.77	-14.994	-38.612	56.644	0.10205	-0.03015	-0.72873	-0.67642	20.3	13111	100
2025-3-19 12:54:38.947	WT901BLE68(E947F43FF2E9)	-0.224	0.981	-0.042	6.592	7.141	-4.272	91.27	11.95	-5.99	12.544	-63.994	-7.546	0.70071	0.70407	0.02780	-0.11130	21.6	13111	100
2025-3-19 12:54:39.19	WT901BLE68(490AABDC0D29)	0.218	0.961	-0.125	-21.667	-10.925	1.587	91.61	-11.72	-175.80	-15.288	-39.102	55.664	0.10205	-0.03015	-0.72873	-0.67642	20.3	13111	100
2025-3-19 12:54:39.28	WT901BLE68(E947F43FF2E9)	-0.227	0.946	-0.057	2.075	-2.563	-3.052	91.38	12.30	-5.97	12.544	-63.994	-7.546	0.68839	0.71539	0.03802	-0.11307	21.6	13111	100
2025-3-19 12:54:39.109	WT901BLE68(490AABDC0D29)	0.230	0.968	-0.059	-18.921	1.282	1.404	90.03	-11.84	-176.02	-15.288	-39.102	55.664	0.10205	-0.03015	-0.72873	-0.67642	20.3	13111	100
2025-3-19 12:54:39.151	WT901BLE68(E947F43FF2E9)	-0.240	0.975	-0.060	0.793	0.122	1.221	91.68	12.34	-5.94	12.544	-63.994	-7.546	0.68839	0.71539	0.03802	-0.11307	21.6	13111	100
2025-3-19 12:54:39.230	WT901BLE68(490AABDC0D29)	0.225	0.970	-0.035	-8.423	-6.409	1.221	89.12	-12.01	-176.31	-15.288	-39.102	55.664	0.09558	-0.05313	-0.69901	-0.70663	20.3	13111	100
