time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-3-13 9:20:22.36	WT901BLE68(E947F43FF2E9)	-0.031	0.995	-0.059	0.000	0.000	0.000	93.38	1.77	89.70	37.338	-56.742	3.136	0.49414	0.50830	0.52060	0.47571	28.1	13111	100
2025-3-13 9:20:22.45	WT901BLE68(490AABDC0D29)	0.052	-0.995	-0.014	-0.061	-0.061	0.000	-91.60	-2.99	16.48	10.780	33.320	44.198	0.69159	-0.70731	-0.12112	0.08154	26.4	13111	100
2025-3-13 9:20:22.139	WT901BLE68(E947F43FF2E9)	-0.031	0.996	-0.058	0.000	0.000	0.000	93.38	1.77	89.70	37.338	-56.742	3.136	0.49414	0.50830	0.52060	0.47571	28.1	13111	100
2025-3-13 9:20:22.139	WT901BLE68(490AABDC0D29)	0.052	-0.996	-0.015	0.000	-0.366	0.000	-91.55	-2.99	16.47	10.780	33.320	44.198	0.69159	-0.70731	-0.12112	0.08154	26.4	13111	100
2025-3-13 9:20:22.246	WT901BLE68(E947F43FF2E9)	-0.031	0.995	-0.059	0.000	0.000	0.000	93.38	1.77	89.70	37.338	-56.742	3.136	0.49414	0.50830	0.52063	0.47571	28.1	13111	100
2025-3-13 9:20:22.255	WT901BLE68(490AABDC0D29)	0.052	-0.996	-0.015	0.061	0.000	0.000	-91.51	-2.99	16.45	10.780	33.320	44.198	0.69308	-0.70599	-0.12045	0.08130	26.4	13111	100
2025-3-13 9:20:22.307	WT901BLE68(E947F43FF2E9)	-0.031	0.995	-0.058	0.122	-0.061	0.000	93.38	1.77	89.70	37.338	-56.742	3.136	0.49414	0.50830	0.52063	0.47571	28.1	13111	100
2025-3-13 9:20:22.346	WT901BLE68(490AABDC0D29)	0.052	-0.995	-0.013	0.122	0.244	0.000	-91.44	-2.99	16.42	10.780	33.320	44.198	0.69308	-0.70599	-0.12045	0.08130	26.4	13111	100
2025-3-13 9:20:22.426	WT901BLE68(E947F43FF2E9)	-0.030	0.995	-0.059	0.000	0.000	0.000	93.38	1.77	89.69	37.436	-56.644	3.234	0.49414	0.50830	0.52063	0.47571	28.1	13111	100
2025-3-13 9:20:22.463	WT901BLE68(490AABDC0D29)	0.052	-0.995	-0.012	-0.122	0.244	0.000	-91.40	-2.99	16.40	10.780	33.320	44.100	0.69308	-0.70599	-0.12045	0.08130	26.4	13111	100
