Timestamp,AccX,AccY,AccZ,AsX,AsY,AsZ,AngX,AngY,AngZ,HX,HY,HZ,Q0,Q1,Q2,Q3
2025-03-10 15:32:29.607,0.001,0.012,1.018,0.0,0.0,0.0,0.61,0.093,-163.021,-0.575,-2.092,-0.425,0.14758,0.00159,-0.00513,-0.98898
2025-03-10 15:32:29.709,0.0,0.013,1.018,0.0,0.0,0.0,0.61,0.093,-163.021,-0.575,-2.092,-0.425,0.14758,0.00159,-0.00513,-0.98898
2025-03-10 15:32:29.814,-0.002,0.012,1.016,0.0,0.0,0.0,0.61,0.093,-163.021,-0.558,-2.083,-0.425,0.14758,0.00159,-0.00513,-0.98898
2025-03-10 15:32:29.919,-0.003,0.011,1.015,0.0,0.0,0.0,0.61,0.093,-163.021,-0.558,-2.083,-0.425,0.14758,0.00159,-0.00513,-0.98898
2025-03-10 15:32:30.023,-0.003,0.01,1.016,0.0,0.0,0.0,0.61,0.093,-163.021,-0.558,-2.083,-0.425,0.14758,0.00159,-0.00513,-0.98898
2025-03-10 15:32:30.126,-0.002,0.011,1.016,0.0,0.0,0.0,0.61,0.093,-163.021,-0.558,-2.083,-0.425,0.14758,0.00159,-0.00513,-0.98898
2025-03-10 15:32:30.232,-0.0,0.011,1.017,0.0,0.0,0.0,0.61,0.093,-163.021,-0.55,-2.092,-0.417,0.14758,0.00159,-0.00513,-0.98898
2025-03-10 15:32:30.337,-0.0,0.012,1.017,0.0,0.0,0.0,0.61,0.093,-163.021,-0.55,-2.092,-0.417,0.14758,0.00159,-0.00513,-0.98898
2025-03-10 15:32:30.439,-0.001,0.012,1.017,0.0,0.0,0.0,0.61,0.093,-163.021,-0.55,-2.092,-0.417,0.14758,0.00159,-0.00516,-0.98898
2025-03-10 15:32:30.545,-0.001,0.011,1.017,0.0,0.0,0.0,0.61,0.093,-163.021,-0.55,-2.092,-0.417,0.14758,0.00159,-0.00516,-0.98898
2025-03-10 15:32:30.650,-0.001,0.01,1.016,0.0,0.0,0.0,0.61,0.093,-163.021,-0.558,-2.092,-0.408,0.14758,0.00159,-0.00516,-0.98898
2025-03-10 15:32:30.651,-0.002,0.011,1.017,0.0,0.0,0.0,0.61,0.093,-163.021,-0.558,-2.092,-0.408,0.14758,0.00159,-0.00516,-0.98898
2025-03-10 15:32:30.856,-0.001,0.011,1.016,0.0,0.0,0.0,0.61,0.093,-163.021,-0.558,-2.092,-0.408,0.14758,0.00159,-0.00516,-0.98898
2025-03-10 15:32:30.857,-0.001,0.009,1.015,0.0,0.0,0.0,0.61,0.088,-163.021,-0.558,-2.092,-0.408,0.14758,0.00159,-0.00516,-0.98898
2025-03-10 15:32:30.961,-0.001,0.005,1.014,0.0,0.0,0.0,0.61,0.093,-163.021,-0.575,-2.092,-0.417,0.14758,0.00159,-0.00516,-0.98898
2025-03-10 15:32:31.064,-0.001,0.006,1.014,0.0,0.0,0.0,0.61,0.093,-163.021,-0.575,-2.092,-0.417,0.14758,0.00159,-0.00516,-0.98898
2025-03-10 15:32:31.170,-0.005,0.009,1.013,0.0,0.0,0.0,0.61,0.093,-163.021,-0.575,-2.092,-0.417,0.14758,0.00159,-0.00516,-0.98898
2025-03-10 15:32:31.274,-0.009,0.012,1.012,0.0,0.0,0.0,0.61,0.093,-163.021,-0.575,-2.092,-0.417,0.14758,0.00159,-0.00516,-0.98898
2025-03-10 15:32:31.378,-0.002,0.014,1.016,0.0,0.0,0.0,0.61,0.093,-163.021,-0.558,-2.083,-0.417,0.14758,0.00159,-0.00516,-0.98898
2025-03-10 15:32:31.483,-0.001,0.012,1.017,0.0,0.0,0.0,0.61,0.093,-163.021,-0.558,-2.083,-0.417,0.14758,0.00159,-0.00516,-0.98898
2025-03-10 15:32:31.588,0.0,0.011,1.017,0.0,0.0,0.0,0.61,0.093,-163.021,-0.558,-2.083,-0.417,0.14758,0.00159,-0.00513,-0.98898
2025-03-10 15:32:31.694,0.0,0.01,1.017,0.0,0.0,0.0,0.61,0.093,-163.021,-0.558,-2.083,-0.417,0.14758,0.00159,-0.00513,-0.98898
2025-03-10 15:32:31.798,0.0,0.01,1.018,0.0,0.0,0.0,0.61,0.093,-163.021,-0.567,-2.092,-0.425,0.14758,0.00159,-0.00513,-0.98898
2025-03-10 15:32:31.904,0.0,0.01,1.017,0.0,0.0,0.0,0.61,0.093,-163.021,-0.567,-2.092,-0.425,0.14758,0.00159,-0.00513,-0.98898
